id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
1043,شيفون 9*20 RINOVA اسود,8,187,270,,1496,2160
1044,شيفون 9*20 RINOVA انوكس,1,159.5,260,,159.5,260
1045,شيفون 9*30 RINOVA اسود,19,255,360,,4845,6840
1046,شيفون 9*30 RINOVA انوكس,1,187,300,,187,300
1047,شيفون 10*30 MOND دهبي,13,255,360,,3315,4680
1048,شيفون 10*30 MONDIAL انوكس مخطط,1,132,240,,132,240
1049,شيفون 10*40 MOND دهبي مخطط,6,305,420,,1830,2520
1050,شيفون 10*40 MOND اسود,6,280.5,390,,1683,2340
1051,شيفون 10*40 MOND دهبي,4,305,420,,1220,1680
1052,شيفون 9*40 RINOVA اسود,5,280.5,390,,1402.5,1950
1053,شيفون 9*40 RINOVA انوكس مخطط,0,176,280,,0,0
1054,شيفون 10*50 MOND اسود,4,352,460,,1408,1840
1055,شيفون 10*50 MOND دهبي,4,370,480,,1480,1920
1056,شيفون 9*50 RINOVA اسود,22,352,460,,7744,10120
1057,شيفون 9*50 RINOVA انوكس مخطط,42,242,350,,10164,14700
1058,شيفون 10*60 MOND اسود,3,418,540,,1254,1620
1059,شيفون 10*60 MOND دهبي,2,430,590,,860,1180
1060,شيفون 9*60 RINOVA  اسود,21,418,540,,8778,11340
1061,شيفون 10*60 MOND  انوكس,0,330,450,,0,0
1062,شيفون 9*60 RINOVA  انوكس مخطط,37,308,420,,11396,15540
1063,شيفون 9*60 RINOVA  انوكس,0,350,509.09,,0,0
1064,شيفون 9*80 RINOVA  انوكس مخطط,6,515,640,,3090,3840
1065,شيفون 9*80 RINOVA  اسود,8,605,750,,4840,6000
1066,شيفون 9*90 RINOVA  اسود,9,759,920,,6831,8280
1067,شيفون 9*90 RINOVA  انوكس,1,660,800,,660,800
1068,شيفون 9*90 RINOVA  انوكس مخطط,12,638,800,,7656,9600
1069,شيفون VAV 50 زليجا,55,180,280,,9900,15400
1070,شيفون VAV 50 مخطط,9,220,320,,1980,2880
1071,شيفون VAV 40 مخطط,13,140,250,,1820,3250
1072,شيفون BOMAX 40 انوكس,10,120,250,,1200,2500
1073,شيفون AQUA ZONE 40 اسود,9,185,290,,1665,2610
1074,شيفون MESATEKNIK  40 انوكس,0,380,490,,0,0
1075,شيفون AQUA ZONE 40 دهبي,9,230,340,,2070,3060
1076,شيفون AQUA ZONE 40 برونز,1,230,350,,230,350
1077,شيفون BOMAX 30 انوكس,2,98,180,,196,360
1078,شيفون BOMAX 50 انوكس,7,144,250,,1008,1750
1079,شيفون CKDRAIN 50 انوكس,1,165,280,,165,280
1080,شيفون CKDRAIN 50 اسود,6,200,300,,1200,1800
1081,شيفون AQUA ZONE 50 اسود,17,235,350,,3995,5950
1082,شيفون AQUA ZONE 60 دهبي,8,250,360,,2000,2880
1083,شيفون AQUA ZONE 60 برونز,0,250,360,,0,0
1084,شيفون MESATEKNIK  60 انوكس,1,430,550,,430,550
1085,شيفون CKDRAIN 60 اسود,8,220,340,,1760,2720
1086,شيفون DUSCHAL 60 اسود رقيق,40,470,590,,18800,23600
1087,شيفون AQUA ZONE 60 اسود,2,235,350,,470,700
1088,شيفون Floordrain 10*10 انوكس,0,56,90,,0,0
1089,شيفون Floordrain 10*10 اسود,0,60,100,,0,0
1090,شيفون RAVENA 10*10 انوكس,15,67,100,,1005,1500
1091,شيفون VESKO 10*10 انوكس,0,58,85,,0,0
1092,شيفون METALLIC 10*10 انوكس,0,58,85,,0,0
1093,شيفون Stainless anti-foul 10*10 انوكس,8,34,70,,272,560
1094,شيفون DORADO لافابو انوكس,0,70,95,,0,0
1095,شيفون MILLER AQUA لافابو انوكس,0,36,70,,0,0
1096,شيفون MILLER AQUA لافابو دهبي,28,40,80,,1120,2240
1097,شيفون MILLER AQUA لافابو اسود,0,38,80,,0,0
1098,شيفون PVC 1m ايطالي,0,130,250,,0,0
1099,شيفون PVC 25*25,9,90,130,,810,1170
